Paper title;Authors;Year of publication;Where it was published;Full abstract;Amount of citations
The Agile Deployment of Machine Learning Models in Healthcare;Stuart Jackson, Maha Yaqub, Cheng-Xi Li;2019;Frontiers in Big Data;The continuous delivery of applied machine learning models in healthcare is often hampered by the existence of isolated product deployments with poorly developed architectures and limited or non-existent maintenance plans. For example, actuarial models in healthcare are often trained in total separation from the client-facing software that implements the models in real-world settings. In practice, such systems prove difficult to maintain, to calibrate on new populations, and to re-engineer to include newer design features and capabilities. Here, we briefly describe our product team's ongoing efforts at translating an existing research pipeline into an integrated, production-ready system for healthcare cost estimation, using an agile methodology. In doing so, we illustrate several nearly universal implementation challenges for machine learning models in healthcare, and provide concrete recommendations on how to proactively address these issues.;17
An Architecture for Agile Machine Learning in Real-Time Applications;Johann Schleier-Smith;2015;Knowledge Discovery and Data Mining;Machine learning techniques have proved effective in recommender systems and other applications, yet teams working to deploy them lack many of the advantages that those in more established software disciplines today take for granted. The well-known Agile methodology advances projects in a chain of rapid development cycles, with subsequent steps often informed by production experiments. Support for such workflow in machine learning applications remains primitive. The platform developed at if(we) embodies a specific machine learning approach and a rigorous data architecture constraint, so allowing teams to work in rapid iterative cycles. We require models to consume data from a time-ordered event history, and we focus on facilitating creative feature engineering. We make it practical for data scientists to use the same model code in development and in production deployment, and make it practical for them to collaborate on complex models. We deliver real-time recommendations at scale, returning top results from among 10,000,000 candidates with sub-second response times and incorporating new updates in just a few seconds. Using the approach and architecture described here, our team can routinely go from ideas for new models to production-validated results within two weeks.;22
A Taxonomy of Software Engineering Challenges for Machine Learning Systems: An Empirical Investigation;Lucy Ellen Lwakatare, Aiswarya Raj, J. Bosch, H. H. Olsson, I. Crnkovic;2019;International Conference on Agile Software Development;Abstract not available;160
Continuous Training for Production ML in the TensorFlow Extended (TFX) Platform;Denis Baylor, Kevin Haas, Konstantinos Katsiapis, S. Leong, Rose Liu, Clemens Mewald, Hui Miao, N. Polyzotis, Mitchell Trott, Martin A. Zinkevich;2019;USENIX Conference on Operational Machine Learning;Large organizations rely increasingly on continuous ML pipelines in order to keep machine-learned models continuously up-to-date with respect to data. In this scenario, dis-ruptions in the pipeline can increase model staleness and thus degrade the quality of downstream services supported by these models. In this paper we describe the operation of continuous pipelines in the Tensorﬂow Extended (TFX) platform that we developed and deployed at Google. We present the main mechanisms in TFX to support this type of pipelines in production and the lessons learned from the deployment of the platform internally at Google.;23
DLHub: Simplifying publication, discovery, and use of machine learning models in science;Zhuozhao Li, Zhuozhao Li, Ryan Chard, Logan T. Ward, K. Chard, K. Chard, Tyler J. Skluzacek, Y. Babuji, Y. Babuji, A. Woodard, S. Tuecke, S. Tuecke, B. Blaiszik, B. Blaiszik, M. Franklin, Ian T Foster, Ian T Foster;2021;J. Parallel Distributed Comput.;Abstract not available;23
Flux: Groupon's automated, scalable, extensible machine learning platform;Derrick C. Spell, Xiao-Han T. Zeng, Jae Young Chung, Bahador B. Nooraei, Richard T. Shomer, Ling-Yong Wang, James C. Gibson, D. Kirsche;2017;2017 IEEE International Conference on Big Data (Big Data);As machine learning becomes the driving force of the daily operation of companies within the information technology sector, infrastructure that enables automated, scalable machine learning is a core component of the systems of many large companies. Various systems and products are being built, offered, and open sourced. As an e-commerce company, numerous aspects of Groupon's business is driven by machine learning. To solve the scalability issue and provide a seamless collaboration between data scientists and engineers, we built Flux, a system that expedites the deployment, execution, and monitoring of machine learning models. Flux focuses on enabling data scientists to build model prototypes with languages and tools they are most proficient in, and integrating the models into the enterprise production system. It manages the life cycle of deployed models, and executes them in distributed batch mode, or exposes them as micro-services for real-time use cases. Its design focuses on automation and easy management, scalability, and extensibility. Flux is the central system for supervised machine learning tasks at Groupon and has been supporting multiple teams across the company.;4
DataHub: Collaborative Data Science & Dataset Version Management at Scale;Anant P. Bhardwaj, Souvik Bhattacherjee, Amit Chavan, A. Deshpande, Aaron J. Elmore, S. Madden, Aditya G. Parameswaran;2014;Conference on Innovative Data Systems Research;Relational databases have limited support for data collaboration, where teams collaboratively curate and analyze large datasets. Inspired by software version control systems like git, we propose (a) a dataset version control system, giving users the ability to create, branch, merge, difference and search large, divergent collections of datasets, and (b) a platform, DATAHUB, that gives users the ability to perform collaborative data analysis building on this version control system. We outline the challenges in providing dataset version control at scale.;177
Towards a Serverless Platform for Edge AI;T. Rausch, W. Hummer, Vinod Muthusamy, A. Rashed, S. Dustdar;2019;USENIX Workshop on Hot Topics in Edge Computing;This paper proposes a serverless platform for building and operating edge AI applications. We analyze edge AI use cases to illustrate the challenges in building and operating AI applications in edge cloud scenarios. By elevating concepts from AI lifecycle management into the established serverless model, we enable easy development of edge AI workflow functions. We take a deviceless approach, i.e., we treat edge resources transparently as cluster resources, but give developers fine-grained control over scheduling constraints. Furthermore, we demonstrate the limitations of current serverless function schedulers, and present the current state of our prototype.;76
PADL: A Modeling and Deployment Language for Advanced Analytical Services †;Josu Díaz-de-Arcaya, Raúl Miñón, Ana I. Torre-Bastida, J. Ser, Aitor Almeida;2020;Italian National Conference on Sensors;In the smart city context, Big Data analytics plays an important role in processing the data collected through IoT devices. The analysis of the information gathered by sensors favors the generation of specific services and systems that not only improve the quality of life of the citizens, but also optimize the city resources. However, the difficulties of implementing this entire process in real scenarios are manifold, including the huge amount and heterogeneity of the devices, their geographical distribution, and the complexity of the necessary IT infrastructures. For this reason, the main contribution of this paper is the PADL description language, which has been specifically tailored to assist in the definition and operationalization phases of the machine learning life cycle. It provides annotations that serve as an abstraction layer from the underlying infrastructure and technologies, hence facilitating the work of data scientists and engineers. Due to its proficiency in the operationalization of distributed pipelines over edge, fog, and cloud layers, it is particularly useful in the complex and heterogeneous environments of smart cities. For this purpose, PADL contains functionalities for the specification of monitoring, notifications, and actuation capabilities. In addition, we provide tools that facilitate its adoption in production environments. Finally, we showcase the usefulness of the language by showing the definition of PADL-compliant analytical pipelines over two uses cases in a smart city context (flood control and waste management), demonstrating that its adoption is simple and beneficial for the definition of information and process flows in such environments.;7
Research Directions for Developing and Operating Artificial Intelligence Models in Trustworthy Autonomous Systems;Silverio Mart'inez-Fern'andez, Xavier Franch, Andreas Jedlitschka, Marc Oriol, Adam Trendowicz;2020;Research Challenges in Information Science;Abstract not available;23
Developing ML/DL Models: A Design Framework;Meenu Mary John, H. H. Olsson, J. Bosch;2020;International Conference on Software and Systems Process;Artificial Intelligence is becoming increasingly popular with organizations due to the success of Machine Learning and Deep Learning techniques. Using these techniques, data scientists learn from vast amounts of data to enhance behaviour in software-intensive systems. Despite the attractiveness of these techniques, however, there is a lack of systematic and structured design process for developing ML/DL models. The study uses a multiple-case study approach to explore the different activities and challenges data scientists face when developing ML/DL models in software-intensive embedded systems. In addition, we have identified seven different phases in the proposed design process leading to effective model development based on the case study. Iterations identified between phases and events which trigger these iterations optimize the design process for ML/DL models. Lessons learned from this study allow data scientists and engineers to develop high-performance ML/DL models and also bridge the gap between high demand and low supply of data scientists.;15
Project repositories for machine learning with TensorFlow;P. Janardhanan;2020;Publication venue not available;Abstract not available;26
Deployment of a Machine Learning System for Predicting Lawsuits Against Power Companies: Lessons Learned from an Agile Testing Experience for Improving Software Quality;Luis Rivero, J. O. Diniz, G. L. F. D. Silva, Gabriel Borralho, Geraldo Braz Junior, A. Paiva, Erika W. B. A. L. Alves, M. S. L. Oliveira;2020;Brazilian Symposium on Software Quality;"The advances in Machine Learning (ML) require software organizations to evolve their development processes in order to improve the quality of ML systems. Within the software development process, the testing stage of an ML system is more critical, considering that it is necessary to add data validation, trained model quality evaluation, and model validation to traditional unit, integration tests and system tests. In this paper, we focus on reporting the lessons learned of using model testing and exploratory testing within the context of the agile development process of an ML system that predicts lawsuits proneness in energy supply companies. Through the development of the project, the SCRUM agile methodology was applied and activities related to the development of the ML model and the development of the end-user application were defined. After the testing process of the ML model, we managed to achieve 93.89 accuracy; 95.58 specificity; 88.84 sensitivity; and 87.09 precision. Furthermore, we focused on the quality of use of the application embedding the ML model, by carrying out exploratory testing. As a result, through several iterations, different types of defects were identified and corrected. Our lessons learned support software engineers willing to develop ML systems that consider both the ML model and the end-user application.";4
Continuous Data Quality Management for Machine Learning based Data-as-a-Service Architectures;Shelernaz Azimi, C. Pahl;2021;International Conference on Cloud Computing and Services Science;Data-as-a-Service (DaaS) solutions make raw source data accessible in the form of processable information. Machine learning (ML) allows to produce meaningful information and knowledge based on raw data. Thus, quality is a major concern that applies to raw data as well as to information provided by ML-generated models. At the core of the solution is a conceptual framework that links input data quality and the machine learned data service quality, specifically inferring raw data problems as root causes from observed data service deficiency symptoms. This allows to deduce the hidden origins of quality problems observable by users of DaaS offerings. We analyse the quality framework through an extensive case study from an edge cloud and Internet-of-Thingsbased traffic application. We determine quality assessment mechanisms for symptom and cause analysis in different quality dimensions.;3
Modelling Data Pipelines;Aiswarya Raj, J. Bosch, H. H. Olsson, Tian J. Wang;2020;EUROMICRO Conference on Software Engineering and Advanced Applications;Data is the new currency and key to success. However, collecting high-quality data from multiple distributed sources requires much effort. In addition, there are several other challenges involved while transporting data from its source to the destination. Data pipelines are implemented in order to increase the overall efficiency of data-flow from the source to the destination since it is automated and reduces the human involvement which is required otherwise.Despite existing research on ETL (Extract-Transform-Load) and ELT (Extract-Load-Transform) pipelines, the research on this topic is limited. ETL/ELT pipelines are abstract representations of the end-to-end data pipelines. To utilize the full potential of the data pipeline, we should understand the activities in it and how they are connected in an end-to-end data pipeline. This study gives an overview of how to design a conceptual model of data pipeline which can be further used as a language of communication between different data teams. Furthermore, it can be used for automation of monitoring, fault detection, mitigation and alarming at different steps of data pipeline.;28
Automated end-to-end management of the modeling lifecycle in deep learning;Gharib Gharibi, V. Walunj, Raju Nekadi, Raj Marri, Yugyung Lee;2021;Empirical Software Engineering;Abstract not available;17
TensorFlow Data Validation: Data Analysis and Validation in Continuous ML Pipelines;Emily Caveness, Paul Suganthan G. C., Zhuo Peng, N. Polyzotis, Sudip Roy, Martin A. Zinkevich;2020;SIGMOD Conference;Machine Learning (ML) research has primarily focused on improving the accuracy and efficiency of the training algorithms while paying much less attention to the equally important problem of understanding, validating, and monitoring the data fed to ML. Irrespective of the ML algorithms used, data errors can adversely affect the quality of the generated model. This indicates that we need to adopt a data-centric approach to ML that treats data as a first-class citizen, on par with algorithms and infrastructure which are the typical building blocks of ML pipelines. In this demonstration we showcase TensorFlow Data Validation (TFDV), a scalable data analysis and validation system for ML that we have developed at Google and recently open-sourced. This system is deployed in production as an integral part of TFX - an end-to-end machine learning platform at Google. It is used by hundreds of product teams at Google and has received significant attention from the open-source community as well.;29
Data Lifecycle Challenges in Production Machine Learning;N. Polyzotis, Sudip Roy, Steven Euijong Whang, Martin A. Zinkevich;2018;SIGMOD record;Machine learning has become an essential tool for gleaning knowledge from data and tackling a diverse set of computationally hard tasks. However, the accuracy of a machine learned model is deeply tied to the data that it is trained on. Designing and building robust processes and tools that make it easier to analyze, validate, and transform data that is fed into large-scale machine learning systems poses data management challenges. Drawn from our experience in developing data-centric infrastructure for a production machine learning platform at Google, we summarize some of the interesting research challenges that we encountered, and survey some of the relevant literature from the data management and machine learning communities. Specifically, we explore challenges in three main areas of focus - data understanding, data validation and cleaning, and data preparation. In each of these areas, we try to explore how different constraints are imposed on the solutions depending on where in the lifecycle of a model the problems are encountered and who encounters them.;165
On Challenges in Machine Learning Model Management;Sebastian Schelter, F. Biessmann, Tim Januschowski, David Salinas, Stephan Seufert, Gyuri Szarvas;2018;IEEE Data Engineering Bulletin;The training, maintenance, deployment, monitoring, organization and documentation of machine learning (ML) models – in short model management – is a critical task in virtually all production ML use cases. Wrong model management decisions can lead to poor performance of a ML system and can result in high maintenance cost. As both research on infrastructure as well as on algorithms is quickly evolving, there is a lack of understanding of challenges and best practices for ML model management. Therefore, this ﬁeld is receiving increased attention in recent years, both from the data management as well as from the ML community. In this paper, we discuss a selection of ML use cases, develop an overview over conceptual, engineering, and data-processing related challenges arising in the management of the corresponding ML models, and point out future research directions.;152
MLIoT: An End-to-End Machine Learning System for the Internet-of-Things;Sudershan Boovaraghavan, Anurag Maravi, Prahaladha Mallela, Yuvraj Agarwal;2021;International Conference on Internet-of-Things Design and Implementation;Modern Internet of Things (IoT) applications, from contextual sensing to voice assistants, rely on ML-based training and serving systems using pre-trained models to render predictions. However, real-world IoT environments are diverse, with rich IoT sensors and need ML models to be personalized for each setting using relatively less training data. Most existing general-purpose ML systems are optimized for specific and dedicated hardware resources and do not adapt to changing resources and different IoT application requirements. To address this gap, we propose MLIoT, an end-to-end Machine Learning System tailored towards supporting the entire lifecycle of IoT applications. MLIoT adapts to different IoT data sources, IoT tasks, and compute resources by automatically training, optimizing, and serving models based on expressive application-specific policies. MLIoT also adapts to changes in IoT environments or compute resources by enabling re-training, and updating models served on the fly while maintaining accuracy and performance. Our evaluation across a set of benchmarks show that MLIoT can handle multiple IoT tasks, each with individual requirements, in a scalable manner while maintaining high accuracy and performance. We compare MLIoT with two state-of-the-art hand-tuned systems and a commercial ML system showing that MLIoT improves accuracy from 50% - 75% while reducing or maintaining latency.;10
Machine Learning Lifecycle for Earth Science Application: A Practical Insight into Production Deployment;M. Maskey, A. Molthan, C. Hain, R. Ramachandran, I. Gurung, B. Freitag, J. J. Miller, Muthukumaran Ramasubramanian, Drew Bollinger, Ricardo Mestre, D. Cecil;2019;IEEE International Geoscience and Remote Sensing Symposium;Enterprises are making machine learning for production as an integral part of their future roadmaps and Earth science domain is no exception. However, there is common problem in transitioning machine learning from science to production due to a major difference in constructing a model versus deploying it for people to use to make decisions. Phases of machine learning lifecycle that includes model transition to production using a successful application is discussed.;10
Context : The Missing Piece in the Machine Learning Lifecycle;Rolando Garcia, Vikram Sreekanti, N. Yadwadkar, D. Crankshaw, Joseph E. Gonzalez;2018;Publication venue not available;Machine learning models have become ubiquitous in modern applications. The ML Lifecycle describes a three-phase process used by data scientists and data engineers to develop, train;29
M-Lean: An end-to-end development framework for predictive models in B2B scenarios;Mona Nashaat, Aindrila Ghosh, James Miller, Shaikh Quader, Chad Marston;2019;Information and Software Technology;Abstract not available;9
Deep learning model management for coronary heart disease early warning research;Yang Peili, Yin Xuezhen, Ye Jian, Yang Lingfeng, Zhao Hui, Liang Jimin;2018;2018 IEEE 3rd International Conference on Cloud Computing and Big Data Analysis (ICCCBDA);Coronary Heart Disease (CHD) is one of the common diseases that threaten people's health and life. To facilitate the CHD early warning research, the deep learning based methods have drawn much attention. However, the literature mostly focuses on how to establish and optimize the CHD early warning models, while overlooking the training data-model-experimental results modeling lifecycle management. Aiming to promote the early warning research of CHD, we contribute a data management system integrated the CHD patient data with the deep learning model data. In the system, a deep learning model version tree is established to represent the relationship between the models. Tracking-Ancestors algorithm and Find-Specified-Ancestor algorithm are designed to conduct the lineage management of the deep learning model. Considering the big data characteristics of the patient data and deep learning model data, we compare the query response time and select MongoDB as the DBMS for the Pdmdims (Patient Data & Deep Learning Model Data Integrated Management System). The research results show that Pdmdims can provide an effective integrated data management platform for CHD early warning researchers.;6
Smart Manufacturing and Continuous Improvement and Adaptation of Predictive Models;G. Kronberger, F. Bachinger, M. Affenzeller;2020;Publication venue not available;Abstract not available;12
Concept for a Technical Infrastructure for Management of Predictive Models in Industrial Applications;F. Bachinger, G. Kronberger;2019;International Conference/Workshop on Computer Aided Systems Theory;Abstract not available;5
From Ad-Hoc Data Analytics to DataOps;A. Munappy, D. I. Mattos, J. Bosch, H. H. Olsson, Anas Dakkak;2020;International Conference on Software and Systems Process;The collection of high-quality data provides a key competitive advantage to companies in their decision-making process. It helps to understand customer behavior and enables the usage and deployment of new technologies based on machine learning. However, the process from collecting the data, to clean and process it to be used by data scientists and applications is often manual, non-optimized and error-prone. This increases the time that the data takes to deliver value for the business. To reduce this time companies are looking into automation and validation of the data processes. Data processes are the operational side of data analytic workflow.DataOps, a recently coined term by data scientists, data analysts and data engineers refer to a general process aimed to shorten the end-to-end data analytic life-cycle time by introducing automation in the data collection, validation, and verification process. Despite its increasing popularity among practitioners, research on this topic has been limited and does not provide a clear definition for the term or how a data analytic process evolves from ad-hoc data collection to fully automated data analytics as envisioned by DataOps.This research provides three main contributions. First, utilizing multi-vocal literature we provide a definition and a scope for the general process referred to as DataOps. Second, based on a case study with a large mobile telecommunication organization, we analyze how multiple data analytic teams evolve their infrastructure and processes towards DataOps. Also, we provide a stairway showing the different stages of the evolution process. With this evolution model, companies can identify the stage which they belong to and also, can try to move to the next stage by overcoming the challenges they encounter in the current stage.;38
Developments in MLflow: A System to Accelerate the Machine Learning Lifecycle;A. Chen, A. Chow, A. Davidson, Arjun DCunha, A. Ghodsi, S. Hong, A. Konwinski, Clemens Mewald, Siddharth Murching, Tomas Nykodym, Paul Ogilvie, Mani Parkhe, Avesh Singh, Fen Xie, M. Zaharia, Richard Zang, Juntai Zheng, Corey Zumar;2020;DEEM@SIGMOD;MLflow is a popular open source platform for managing ML development, including experiment tracking, reproducibility, and deployment. In this paper, we discuss user feedback collected since MLflow was launched in 2018, as well as three major features we have introduced in response to this feedback: a Model Registry for collaborative model management and review, tools for simplifying ML code instrumentation, and experiment analytics functions for extracting insights from millions of ML experiments.;80
On-Premise AI Platform: From DC to Edge;Bukhary Ikhwan Ismail, Mohammad Fairus Khalid, Rajendar Kandan, Ong Hong Hoe;2019;Proceedings of the 2019 2nd International Conference on Robot Systems and Applications;Artificial Intelligence (AI) is powering everything from devices, applications and services. Machine learning a branch of AI requires powerful infrastructure platform to do training and to serve the AI model. In this paper, we share our blueprint to build and host internal on-premise AI platform. We make use of our existing services such as private cloud, distributed storage, unified authentication platform, and build the AI platform on top of it. We discuss the requirements gathered from user, the technologies to make it possible, implementation and lesson learned from hosting it internally. Based on our evaluation, based on specific need, it is economical and viable option to host on-premise AI Platform.;3
A comprehensive study on challenges in deploying deep learning based software;Zhenpeng Chen, Yanbin Cao, Yuanqiang Liu, Haoyu Wang, Tao Xie, Xuanzhe Liu;2020;ESEC/SIGSOFT FSE;Deep learning (DL) becomes increasingly pervasive, being used in a wide range of software applications. These software applications, named as DL based software (in short as DL software), integrate DL models trained using a large data corpus with DL programs written based on DL frameworks such as TensorFlow and Keras. A DL program encodes the network structure of a desirable DL model and the process by which the model is trained using the training data. To help developers of DL software meet the new challenges posed by DL, enormous research efforts in software engineering have been devoted. Existing studies focus on the development of DL software and extensively analyze faults in DL programs. However, the deployment of DL software has not been comprehensively studied. To fill this knowledge gap, this paper presents a comprehensive study on understanding challenges in deploying DL software. We mine and analyze 3,023 relevant posts from Stack Overflow, a popular Q&A website for developers, and show the increasing popularity and high difficulty of DL software deployment among developers. We build a taxonomy of specific challenges encountered by developers in the process of DL software deployment through manual inspection of 769 sampled posts and report a series of actionable implications for researchers, developers, and DL framework vendors.;104
Who needs to know what, when?: Broadening the Explainable AI (XAI) Design Space by Looking at Explanations Across the AI Lifecycle;Shipi Dhanorkar, Christine T. Wolf, Kun Qian, Anbang Xu, Lucian Popa, Yunyao Li;2021;Conference on Designing Interactive Systems;The interpretability or explainability of AI systems (XAI) has been a topic gaining renewed attention in recent years across AI and HCI communities. Recent work has drawn attention to the emergent explainability requirements of in situ, applied projects, yet further exploratory work is needed to more fully understand this space. This paper investigates applied AI projects and reports on a qualitative interview study of individuals working on AI projects at a large technology and consulting company. Presenting an empirical understanding of the range of stakeholders in industrial AI projects, this paper also draws out the emergent explainability practices that arise as these projects unfold, highlighting the range of explanation audiences (who), as well as how their explainability needs evolve across the AI project lifecycle (when). We discuss the importance of adopting a sociotechnical lens in designing AI systems, noting how the “AI lifecycle” can serve as a design metaphor to further the XAI design field.;81
Benchmarking Machine Learning Solutions in Production;L. C. Silva, F. Zagatti, B. S. Sette, L. N. S. Silva, D. Lucrédio, Diego Furtado Silva, Helena de Medeiros Caseli;2020;International Conference on Machine Learning and Applications;Machine learning (ML) is becoming critical to many businesses. Keeping an ML solution online and responding is therefore a necessity, and is part of the MLOps (Machine Learning operationalization) movement. One aspect for this process is monitoring not only prediction quality, but also system resources. This is important to correctly provide the necessary infrastructure, either using a fully-managed cloud platform or a local solution. This is not a difficult task, as there are many tools available. However, it requires some planning and knowledge about what to monitor. Also, many ML professionals are not experts in system operations and may not have the skills to easily setup a monitoring and benchmarking environment. In the spirit of MLOps, this paper presents an approach, based on a simple API and set of tools, to monitor ML solutions. The approach was tested with 9 different solutions. The results indicate that the approach can deliver useful information to help in decision making, proper resource provision and operation of ML systems.;16
MLOps Challenges in Multi-Organization Setup: Experiences from Two Real-World Cases;Tuomas Granlund, Aleksi Kopponen, Vlad Stirbu, Lalli Myllyaho, T. Mikkonen;2021;Workshop on AI Engineering - Software Engineering for AI;The emerging age of connected, digital world means that there are tons of data, distributed to various organizations and their databases. Since this data can be confidential in nature, it cannot always be openly shared in seek of artificial intelligence (AI) and machine learning (ML) solutions. Instead, we need integration mechanisms, analogous to integration patterns in information systems, to create multi-organization AI/ML systems. In this paper, we present two real-world cases. First, we study integration between two organizations in detail. Second, we address scaling of AI/ML to multi-organization context. The setup we assume is that of continuous deployment, often referred to DevOps in software development. When also ML components are deployed in a similar fashion, term MLOps is used. Towards the end of the paper, we list the main observations and draw some final conclusions. Finally, we propose some directions for future work.;35
Provenance Data in the Machine Learning Lifecycle in Computational Science and Engineering;Renan Souza, L. Azevedo, Vítor Lourenço, E. Soares, R. Thiago, R. Brandão, D. Civitarese, E. V. Brazil, M. Moreno, P. Valduriez, M. Mattoso, Renato Cerqueira, M. Netto;2019;Works;"Machine Learning (ML) has become essential in several industries. In Computational Science and Engineering (CSE), the complexity of the ML lifecycle comes from the large variety of data, scientists' expertise, tools, and workflows. If data are not tracked properly during the lifecycle, it becomes unfeasible to recreate a ML model from scratch or to explain to stackholders how it was created. The main limitation of provenance tracking solutions is that they cannot cope with provenance capture and integration of domain and ML data processed in the multiple workflows in the lifecycle, while keeping the provenance capture overhead low. To handle this problem, in this paper we contribute with a detailed characterization of provenance data in the ML lifecycle in CSE; a new provenance data representation, called PROV-ML, built on top of W3C PROV and ML Schema; and extensions to a system that tracks provenance from multiple workflows to address the characteristics of ML and CSE, and to allow for provenance queries with a standard vocabulary. We show a practical use in a real case in the O&G industry, along with its evaluation using 239,616 CUDA cores in parallel.";34
AIOps: Real-World Challenges and Research Innovations;Yingnong Dang, Qingwei Lin, Peng Huang;2019;2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion);AIOps is about empowering software and service engineers (e.g., developers, program managers, support engineers, site reliability engineers) to efficiently and effectively build and operate online services and Apps at scale with artificial intelligence (AI) and machine learning (ML) techniques. AIOps can help achieve higher service quality and customer satisfaction, engineering productivity boost, and cost reduction. In this technical briefing, we summarize the real-world challenges on building AIOps solutions based on our practice and experience in Microsoft, propose a roadmap of AIOps related research directions, and share a few successful AIOps solutions we have built for Microsoft service products.;148
Building A Platform for Machine Learning Operations from Open Source Frameworks;Y. Liu, Zhijing Ling, Boyu Huo, Boqian Wang, Tianen Chen, Esma Mouine;2020;Publication venue not available;Abstract not available;20
A Software Engineering Perspective on Engineering Machine Learning Systems: State of the Art and Challenges;G. Giray;2020;Journal of Systems and Software;Abstract not available;103
Kafka-ML: connecting the data stream with ML/AI frameworks;Cristian Mart'in, P. Langendoerfer, M. D'iaz, B. Rubio;2020;Future generations computer systems;Abstract not available;35
Large-scale machine learning systems in real-world industrial settings: A review of challenges and solutions;Lucy Ellen Lwakatare, Aiswarya Raj, I. Crnkovic, J. Bosch, H. H. Olsson;2020;Information and Software Technology;Abstract not available;104
Model-Driven ML-Ops for Intelligent Enterprise Applications: Vision, Approaches and Challenges;W. Heuvel, D. Tamburri;2020;International Symposium on Business Modeling and Software Design;Abstract not available;23
An End-to-End Framework for Productive Use of Machine Learning in Software Analytics and Business Intelligence Solutions;Iris Figalist, Christoph Elsner, J. Bosch, H. H. Olsson;2020;International Conference on Product Focused Software Process Improvement;Abstract not available;7
Characterizing machine learning process: A maturity framework;R. Akkiraju, Vibha Sinha, Anbang Xu, J. Mahmud, Pritam Gundecha, Zhe Liu, Xiaotong Liu, John Schumacher;2018;International Conference on Business Process Management;Abstract not available;51
L G ] 1 0 M ay 2 01 9 Assuring the Machine Learning Lifecycle : Desiderata , Methods , and Challenges;Rob Ashmore;2019;Publication venue not available;"Interpretation [57] ✔ ★ Generate tests via simulation ✔ ★ ✩ ✩ Verifier of Random Forests [163] ✔ ★ Verification of ML Libraries [152] ✔ ★ Check for unwanted bias [15] ✔ ★ Use synthetic test data [162] ✔ ✔ ★ ★ ✩ Use GAN to inform test generation [181] ✔ ★ ★ Incorporate system level semantics [45] ✔ ✔ ★ ★ ✩ Counterexample-guided data augmentation [44] ✔ ★ ✩ ★ Probabilistic verification [166] ✔ ★ Use confidence levels [45] ✔ X ✩ ★ Evaluate interpretability [42] ✔ ✔ ★ ★ † ✔ = activity that the method is typically used in;X= activity that may use the method ‡ ★ = desideratum supported by the method; ✩ = desideratum partly supported by the method Table 6. Open challenges for the assurance concerns associated with the Model Verification (MV) stage ID Open Challenge Desideratum (Section) MV01 Understanding how to detect and protect against typical errors Comprehensive MV02 Test coverage measures with theoretical and empirical justification (Section 6.4.1) MV03 Formal verification for ML models other than neural networks MV04 Mapping requirements to model features Contextually Relevant MV05 General framework for synthetic test generation (Section 6.4.2) MV06 Mapping of model-free reinforcement learning states to real-world";0
Recommendations for All: Solving Thousands of Recommendation Problems Daily;Bhargav Kanagal, Sandeep Tata;2018;IEEE International Conference on Data Engineering;Recommender systems are a key technology for many online services including e-commerce, movies, music, and news. Online retailers use product recommender systems to help users discover items that they may like. However, building a large-scale product recommender system is a challenging task. The problems of sparsity and cold-start are much more pronounced in this domain. Large online retailers have used good recommendations to drive user engagement and improve revenue, but the complexity involved is a roadblock to widespread adoption by smaller retailers. In this paper, we tackle the problem of generating product recommendations for tens of thousands of online retailers. Sigmund is an industrial-scale system for providing recommendations as a service. Sigmund was deployed to production in early 2014 and has been serving retailers every day. We describe the design choices that we made in order to train accurate matrix factorization models at minimal cost. We also share the lessons we learned from this experience – both from a machine learning perspective and a systems perspective. We hope that these lessons are useful for building future machine-learning services.;4
Billion-scale Commodity Embedding for E-commerce Recommendation in Alibaba;Jizhe Wang, Pipei Huang, Huan Zhao, Zhibo Zhang, Binqiang Zhao, Lee;2018;Knowledge Discovery and Data Mining;Recommender systems (RSs) have been the most important technology for increasing the business in Taobao, the largest online consumer-to-consumer (C2C) platform in China. There are three major challenges facing RS in Taobao: scalability, sparsity and cold start. In this paper, we present our technical solutions to address these three challenges. The methods are based on a well-known graph embedding framework. We first construct an item graph from users' behavior history, and learn the embeddings of all items in the graph. The item embeddings are employed to compute pairwise similarities between all items, which are then used in the recommendation process. To alleviate the sparsity and cold start problems, side information is incorporated into the graph embedding framework. We propose two aggregation methods to integrate the embeddings of items and the corresponding side information. Experimental results from offline experiments show that methods incorporating side information are superior to those that do not. Further, we describe the platform upon which the embedding methods are deployed and the workflow to process the billion-scale data in Taobao. Using A/B test, we show that the online Click-Through-Rates (CTRs) are improved comparing to the previous collaborative filtering based methods widely used in Taobao, further demonstrating the effectiveness and feasibility of our proposed methods in Taobao's live production environment.;455
