APA;Name;Year;Title;Authors;Proceeding;Abstract;Link;Google Scholar Reference
Vieira, D. M., Fernandes, C., Lucena, C., & Lifschitz, S. (2021). Driftage: a multi-agent system framework for concept drift detection. GigaScience, 10(6), giab030.;1_ml_machine_data_learning;2021;Driftage: a multi-agent system framework for concept drift detection;Diogo Munaro Vieira, Chrystinne Fernandes, Carlos Lucena, Sérgio Lifschitz;GigaScience 10 (6), giab030, 2021;The amount of data and behavior changes in society happens at a swift pace in this interconnected world. Consequently, machine learning algorithms lose accuracy because they do not know these new patterns. This change in the data pattern is known as concept drift. There exist many approaches for dealing with these drifts. Usually, these methods are costly to implement because they require (i) knowledge of drift detection algorithms, (ii) software engineering strategies, and (iii) continuous maintenance concerning new drifts.This article proposes to create Driftage: a new framework using multi-agent systems to simplify the implementation of concept drift detectors considerably and divide concept drift detection responsibilities between agents, enhancing explainability of each part of drift detection. As a case study, we illustrate our strategy using a muscle activity monitor of electromyography. We show a reduction in the number of false-positive drifts detected, improving detection interpretability, and enabling concept drift detectors’ interactivity with other knowledge bases.We conclude that using Driftage, arises a new paradigm to implement concept drift algorithms with multi-agent architecture that contributes to split drift detection responsability, algorithms interpretability and more dynamic algorithms adaptation.;https://academic.oup.com/gigascience/article-abstract/10/6/giab030/6290670;fRFLi9KBZEYJ
Chen, T. (2019, May). All versus one: an empirical comparison on retrained and incremental machine learning for modeling performance of adaptable software. In 2019 IEEE/ACM 14th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS) (pp. 157-168). IEEE.;1_ml_machine_data_learning;2019;All versus one: an empirical comparison on retrained and incremental machine learning for modeling performance of adaptable software;Tao Chen;2019 IEEE/ACM 14th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS), 157-168, 2019;"Given the ever-increasing complexity of adaptable software systems and their commonly hidden internal information (e.g., software runs in the public cloud), machine learning based performance modeling has gained momentum for evaluating, understanding and predicting software performance, which facilitates better informed self-adaptations. As performance data accumulates during the run of the software, updating the performance models becomes necessary. To this end, there are two conventional modeling methods: the retrained modeling that always discard the old model and retrain a new one using all available data; or the incremental modeling that retains the existing model and tunes it using one newly arrival data sample. Generally, literature on machine learning based performance modeling for adaptable software chooses either of those methods according to a general belief, but they provide insufficient evidences or references to justify their choice. This paper is the first to report on a comprehensive empirical study that examines both modeling methods under distinct domains of adaptable software, 5 performance indicators, 8 learning algorithms and settings, covering a total of 1,360 different conditions. Our findings challenge the general belief, which is shown to be only partially correct, and reveal some of the important, statistically significant factors that are often overlooked in existing work, providing evidence-based insights on the choice.";https://ieeexplore.ieee.org/abstract/document/8787029/;wm1CEK-kjloJ
Paleyes, A., Urma, R. G., & Lawrence, N. D. (2022). Challenges in deploying machine learning: a survey of case studies. ACM Computing Surveys, 55(6), 1-29.;1_ml_machine_data_learning;2022;Challenges in deploying machine learning: a survey of case studies;Andrei Paleyes, Raoul-Gabriel Urma, Neil D Lawrence;ACM Computing Surveys 55 (6), 1-29, 2022;In recent years, machine learning has transitioned from a field of academic research interest to a field capable of solving real-world business problems. However, the deployment of machine learning models in production systems can present a number of issues and concerns. This survey reviews published reports of deploying machine learning solutions in a variety of use cases, industries, and applications and extracts practical considerations corresponding to stages of the machine learning deployment workflow. By mapping found challenges to the steps of the machine learning deployment workflow, we show that practitioners face issues at each stage of the deployment process. The goal of this article is to lay out a research agenda to explore approaches addressing these challenges.;https://dl.acm.org/doi/abs/10.1145/3533378;4yqSNR3CdvEJ
Lakhmiri, D., Digabel, S. L., & Tribes, C. (2021). HyperNOMAD: Hyperparameter optimization of deep neural networks using mesh adaptive direct search. ACM Transactions on Mathematical Software (TOMS), 47(3), 1-27.;1_ml_machine_data_learning;2021;HyperNOMAD: Hyperparameter optimization of deep neural networks using mesh adaptive direct search;Dounia Lakhmiri, Sébastien Le Digabel, Christophe Tribes;ACM Transactions on Mathematical Software (TOMS) 47 (3), 1-27, 2021;The performance of deep neural networks is highly sensitive to the choice of the hyperparameters that define the structure of the network and the learning process. When facing a new application, tuning a deep neural network is a tedious and time-consuming process that is often described as a “dark art.” This explains the necessity of automating the calibration of these hyperparameters. Derivative-free optimization is a field that develops methods designed to optimize time-consuming functions without relying on derivatives. This work introduces the HyperNOMAD package, an extension of the NOMAD software that applies the MADS algorithm [7] to simultaneously tune the hyperparameters responsible for both the architecture and the learning process of a deep neural network (DNN). This generic approach allows for an important flexibility in the exploration of the search space by taking advantage of categorical variables. HyperNOMAD is tested on the MNIST, Fashion-MNIST, and CIFAR-10 datasets and achieves results comparable to the current state of the art.;https://dl.acm.org/doi/abs/10.1145/3450975;-YuIOo596hwJ
Liu, J., Tripathi, S., Kurup, U., & Shah, M. (2019, December). Auptimizer-an extensible, open-source framework for hyperparameter tuning. In 2019 IEEE International Conference on Big Data (Big Data) (pp. 339-348). IEEE.;1_ml_machine_data_learning;2019;Auptimizer-an extensible, open-source framework for hyperparameter tuning;Jiayi Liu, Samarth Tripathi, Unmesh Kurup, Mohak Shah;2019 IEEE International Conference on Big Data (Big Data), 339-348, 2019;Tuning machine learning models at scale, especially finding the right hyperparameter values, can be difficult and time-consuming. In addition to the computational effort required, this process also requires some ancillary efforts including engineering tasks (e.g., job scheduling) as well as more mundane tasks (e.g., keeping track of the various parameters and associated results). We present Auptimizer, a general Hyperparameter Optimization (HPO) framework to help data scientists speed up model tuning and bookkeeping. With Auptimizer, users can use all available computing resources in distributed settings for model training. The user-friendly system design simplifies creating, controlling, and tracking of a typical machine learning project. The design also allows researchers to integrate new HPO algorithms. To demonstrate its flexibility, we show how Auptimizer integrates a few major HPO techniques (from random search to neural architecture search). The code is available at https://github.com/LGE-ARC-AdvancedAI/auptimizer.;https://ieeexplore.ieee.org/abstract/document/9006330/;JZhVao3JebMJ
Probst, P., Boulesteix, A. L., & Bischl, B. (2019). Tunability: Importance of hyperparameters of machine learning algorithms. The Journal of Machine Learning Research, 20(1), 1934-1965.;1_ml_machine_data_learning;2019;Tunability: Importance of hyperparameters of machine learning algorithms;Philipp Probst, Anne-Laure Boulesteix, Bernd Bischl;The Journal of Machine Learning Research 20 (1), 1934-1965, 2019;Modern supervised machine learning algorithms involve hyperparameters that have to be set before running them. Options for setting hyperparameters are default values from the software package, manual configuration by the user or configuring them for optimal predictive performance by a tuning procedure. The goal of this paper is two-fold. Firstly, we formalize the problem of tuning from a statistical point of view, define data-based defaults and suggest general measures quantifying the tunability of hyperparameters of algorithms. Secondly, we conduct a large-scale benchmarking study based on 38 datasets from the OpenML platform and six common machine learning algorithms. We apply our measures to assess the tunability of their parameters. Our results yield default values for hyperparameters and enable users to decide whether it is worth conducting a possibly time consuming tuning strategy, to focus on the most important hyperparameters and to choose adequate hyperparameter spaces for tuning.;https://www.jmlr.org/papers/volume20/18-444/18-444.pdf;-i2sCJf7J24J
Narayan, S., Krishna, C. S., Mishra, V., Rai, A., Rai, H., Bharti, C., ... & Singh, N. (2020, December). Ultron-AutoML: an open-source, distributed, scalable framework for efficient hyper-parameter optimization. In 2020 IEEE International Conference on Big Data (Big Data) (pp. 1584-1593). IEEE.;1_ml_machine_data_learning;2020;Ultron-AutoML: an open-source, distributed, scalable framework for efficient hyper-parameter optimization;Swarnim Narayan, Chepuri Shri Krishna, Varun Mishra, Abhinav Rai, Himanshu Rai, Chandrakant Bharti, Gursirat Singh Sodhi, Ashish Gupta, Nitinbalaji Singh;2020 IEEE International Conference on Big Data (Big Data), 1584-1593, 2020;We present Ultron-AutoML, an open-source, distributed framework for efficient hyper-parameter optimization (HPO) of ML models. Considering that hyper-parameter optimization is compute intensive and time-consuming, the framework has been designed for reliability - the ability to successfully complete an HPO Job in a multi-tenant, failure prone environment, as well as efficiency - completing the job with minimum compute cost and wall-clock time. From a user's perspective, the framework emphasizes ease of use and customizability. The user can declaratively specify and execute an HPO Job, while ancillary tasks - containerizing and running the user's scripts, model checkpointing, monitoring progress, parallelization - are handled by the framework. At the same time, the user has complete flexibility in composing the code-base for specifying the ML model training algorithm as well as, optionally, any custom HPO algorithm. The framework supports the creation of data-pipelines to stream batches of shuffled and augmented data from a distributed file system. This comes in handy for training Deep Learning models based on self-supervised, semi-supervised or representation learning algorithms over large training datasets. We demonstrate the framework's reliability and efficiency by running a BERT pre-training job over a large training corpus using pre-emptible GPU compute targets. Despite the inherent unreliability of the underlying compute nodes, the framework is able to complete such long running jobs at 30% of the cost with a marginal increase in wall-clock time. The framework also comes with a service to monitor jobs and ensures reproducibility of any result.;https://ieeexplore.ieee.org/abstract/document/9378071/;xLc3dvTk0JMJ
Ré, C., Niu, F., Gudipati, P., & Srisuwananukorn, C. (2019). Overton: A data system for monitoring and improving machine-learned products. arXiv preprint arXiv:1909.05372.;1_ml_machine_data_learning;2019;Overton: A data system for monitoring and improving machine-learned products;Christopher RÃ©, Feng Niu, Pallavi Gudipati, Charles Srisuwananukorn;arXiv preprint arXiv:1909.05372, 2019;We describe a system called Overton, whose main design goal is to support engineers in building, monitoring, and improving production machine learning systems. Key challenges engineers face are monitoring fine-grained quality, diagnosing errors in sophisticated applications, and handling contradictory or incomplete supervision data. Overton automates the life cycle of model construction, deployment, and monitoring by providing a set of novel high-level, declarative abstractions. Overton's vision is to shift developers to these higher-level tasks instead of lower-level machine learning tasks. In fact, using Overton, engineers can build deep-learning-based applications without writing any code in frameworks like TensorFlow. For over a year, Overton has been used in production to support multiple applications in both near-real-time applications and back-of-house processing. In that time, Overton-based applications have answered billions of queries in multiple languages and processed trillions of records reducing errors 1.7-2.9 times versus production systems.;https://arxiv.org/abs/1909.05372;u3K-PN1uCLEJ
Bosch, N., & Bosch, J. (2020, August). Software logs for machine learning in a DevOps environment. In 2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA) (pp. 29-33). IEEE.;1_ml_machine_data_learning;2020;Software logs for machine learning in a DevOps environment;Nathan Bosch, Jan Bosch;2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA), 29-33, 2020;System logs perform a critical function in software-intensive systems as logs record the state of the system and significant events in the system at important points in time. Unfortunately, log entries are typically created in an ad-hoc, unstructured and uncoordinated fashion, limiting their usefulness for analytics and machine learning. In a DevOps environment, especially, unmanaged evolution in log data structure causes frequent disruption of operations in automated data pipelines, dashboards and analytics. In this paper, we present the main challenges of contemporary approaches to generating, storing and managing the evolution of system logs data for large, complex, software-intensive systems based on an in-depth case study at a world-leading telecommunications company. Second, we present an approach for generating and managing the evolution of log data in a DevOps environment that does not suffer from the aforementioned challenges and is optimized for use in machine learning. Third, we provide validation of the approach based on expert interviews that confirm that the approach addresses the identified challenges and problems.;https://ieeexplore.ieee.org/abstract/document/9226340/;ZqOx3UoESpwJ
Haakman, M., Cruz, L., Huijgens, H., & van Deursen, A. (2021). AI lifecycle models need to be revised: An exploratory study in Fintech. Empirical Software Engineering, 26, 1-29.;1_ml_machine_data_learning;2021;AI lifecycle models need to be revised: An exploratory study in Fintech;Mark Haakman, Luís Cruz, Hennie Huijgens, Arie van Deursen;Empirical Software Engineering 26, 1-29, 2021;Tech-leading organizations are embracing the forthcoming artificial intelligence revolution. Intelligent systems are replacing and cooperating with traditional software components. Thus, the same development processes and standards in software engineering ought to be complied in artificial intelligence systems. This study aims to understand the processes by which artificial intelligence-based systems are developed and how state-of-the-art lifecycle models fit the current needs of the industry. We conducted an exploratory case study at ING, a global bank with a strong European base. We interviewed 17 people with different roles and from different departments within the organization. We have found that the following stages have been overlooked by previous lifecycle models: data collection, feasibility study, documentation, model monitoring, and model risk assessment. Our work shows that the real challenges of applying Machine Learning go much beyond sophisticated learning algorithms – more focus is needed on the entire lifecycle. In particular, regardless of the existing development tools for Machine Learning, we observe that they are still not meeting the particularities of this field.;https://link.springer.com/article/10.1007/s10664-021-09993-1;_mrxMfIs1BgJ
John, M. M., Olsson, H. H., & Bosch, J. (2021, September). Towards mlops: A framework and maturity model. In 2021 47th Euromicro Conference on Software Engineering and Advanced Applications (SEAA) (pp. 1-8). IEEE.;1_ml_machine_data_learning;2021;Towards mlops: A framework and maturity model;Meenu Mary John, Helena HolmstrÃ¶m Olsson, Jan Bosch;2021 47th Euromicro Conference on Software Engineering and Advanced Applications (SEAA), 1-8, 2021;The adoption of continuous software engineering practices such as DevOps (Development and Operations) in business operations has contributed to significantly shorter software development and deployment cycles. Recently, the term MLOps (Machine Learning Operations) has gained increasing interest as a practice that brings together data scientists and operations teams. However, the adoption of MLOps in practice is still in its infancy and there are few common guidelines on how to effectively integrate it into existing software development practices. In this paper, we conduct a systematic literature review and a grey literature review to derive a framework that identifies the activities involved in the adoption of MLOps and the stages in which companies evolve as they become more mature and advanced. We validate this framework in three case companies and show how they have managed to adopt and integrate MLOps in their large-scale software development companies. The contribution of this paper is threefold. First, we review contemporary literature to provide an overview of the state-of-the-art in MLOps. Based on this review, we derive an MLOps framework that details the activities involved in the continuous development of machine learning models. Second, we present a maturity model in which we outline the different stages that companies go through in evolving their MLOps practices. Third, we validate our framework in three embedded systems case companies and map the companies to the stages in the maturity model.;https://ieeexplore.ieee.org/abstract/document/9582569/;d9_qgXR_KcsJ
Chen, Z., Yao, H., Lou, Y., Cao, Y., Liu, Y., Wang, H., & Liu, X. (2021, May). An empirical study on deployment faults of deep learning based mobile applications. In 2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE) (pp. 674-685). IEEE.;4_dl_testing_deep_network;2021;An empirical study on deployment faults of deep learning based mobile applications;Zhenpeng Chen, Huihan Yao, Yiling Lou, Yanbin Cao, Yuanqiang Liu, Haoyu Wang, Xuanzhe Liu;2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE), 674-685, 2021;Deep learning (DL) is moving its step into a growing number of mobile software applications. These software applications, named as DL based mobile applications (abbreviated as mobile DL apps) integrate DL models trained using large-scale data with DL programs. A DL program encodes the structure of a desirable DL model and the process by which the model is trained using training data. Due to the increasing dependency of current mobile apps on DL, software engineering (SE) for mobile DL apps has become important. However, existing efforts in SE research community mainly focus on the development of DL models and extensively analyze faults in DL programs. In contrast, faults related to the deployment of DL models on mobile devices (named as deployment faults of mobile DL apps) have not been well studied. Since mobile DL apps have been used by billions of end users daily for various purposes including for safety-critical scenarios, characterizing their deployment faults is of enormous importance. To fill in the knowledge gap, this paper presents the first comprehensive study to date on the deployment faults of mobile DL apps. We identify 304 real deployment faults from Stack Overflow and GitHub, two commonly used data sources for studying software faults. Based on the identified faults, we construct a fine-granularity taxonomy consisting of 23 categories regarding to fault symptoms and distill common fix strategies for different fault symptoms. Furthermore, we suggest actionable implications and research avenues that can potentially facilitate the deployment of DL models on mobile devices.;https://ieeexplore.ieee.org/abstract/document/9401981/;tG8R_auOTPoJ
Njomou, A. T., Africa, A. J. B., Adams, B., & Fokaefs, M. (2021, March). MSR4ML: reconstructing artifact traceability in machine learning repositories. In 2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER) (pp. 536-540). IEEE.;1_ml_machine_data_learning;2021;MSR4ML: reconstructing artifact traceability in machine learning repositories;Aquilas Tchanjou Njomou, Alexandra Johanne Bifona Africa, Bram Adams, Marios Fokaefs;2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER), 536-540, 2021;The increasing popularity of Machine Learning (ML) is generating challenges also for developers. The multitude of programming languages, libraries and available resources allow them to easily build their own models or algorithms. However, ML models are tightly connected to their data implying a different development process from other types of software. Software projects often rely on version control platforms, such as GitHub, but these platforms have not yet been extended to support ML projects. There is poor support for data versioning and no link between ML and software artifacts. Thus, traceability and model evolution can become challenging for developers. While some specific ML platforms exist, they still require considerable manual specification of ML artifacts and links between them. In this work, we propose a framework for automatic identification and traceability of links between data, code and ML model through Mining Software Repositories (MSR) techniques. Our tool combines static code analysis and mining commit data to identify ML, code and data artifacts, reconstruct links between them and retrieve commits that affect each end of the link. The objective is to increase productivity and the developers' awareness of their project through the recovered traceability.;https://ieeexplore.ieee.org/abstract/document/9426012/;-n4LLH3YN0wJ
Majumder, S., Balaji, N., Brey, K., Fu, W., & Menzies, T. (2018, May). 500+ times faster than deep learning: A case study exploring faster methods for text mining stackoverflow. In Proceedings of the 15th International Conference on Mining Software Repositories (pp. 554-563).;1_ml_machine_data_learning;2018;500+ times faster than deep learning: A case study exploring faster methods for text mining stackoverflow;Suvodeep Majumder, Nikhila Balaji, Katie Brey, Wei Fu, Tim Menzies;Proceedings of the 15th International Conference on Mining Software Repositories, 554-563, 2018;Deep learning methods are useful for high-dimensional data and are becoming widely used in many areas of software engineering. Deep learners utilizes extensive computational power and can take a long time to train- making it difficult to widely validate and repeat and improve their results. Further, they are not the best solution in all domains. For example, recent results show that for finding related Stack Overflow posts, a tuned SVM performs similarly to a deep learner, but is significantly faster to train.This paper extends that recent result by clustering the dataset, then tuning every learners within each cluster. This approach is over 500 times faster than deep learning (and over 900 times faster if we use all the cores on a standard laptop computer). Significantly, this faster approach generates classifiers nearly as good (within 2% F1 Score) as the much slower deep learning method. Hence we recommend this faster methods since it is much easier to reproduce and utilizes far fewer CPU resources.More generally, we recommend that before researchers release research results, that they compare their supposedly sophisticated methods against simpler alternatives (e.g applying simpler learners to build local models).;https://dl.acm.org/doi/abs/10.1145/3196398.3196424;vqQVyplTEbAJ
Wang, S., Shrestha, N., Subburaman, A. K., Wang, J., Wei, M., & Nagappan, N. (2021, May). Automatic unit test generation for machine learning libraries: How far are we?. In 2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE) (pp. 1548-1560). IEEE.;10_testing_test_machine_metamorphic;2021;Automatic unit test generation for machine learning libraries: How far are we?;Song Wang, Nishtha Shrestha, Abarna Kucheri Subburaman, Junjie Wang, Moshi Wei, Nachiappan Nagappan;2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE), 1548-1560, 2021;Automatic unit test generation that explores the input space and produces effective test cases for given programs have been studied for decades. Many unit test generation tools that can help generate unit test cases with high structural coverage over a program have been examined. However, the fact that existing test generation tools are mainly evaluated on general software programs calls into question about its practical effectiveness and usefulness for machine learning libraries, which are statistically orientated and have fundamentally different nature and construction from general software projects. In this paper, we set out to investigate the effectiveness of existing unit test generation techniques on machine learning libraries. To investigate this issue, we conducted an empirical study on five widely used machine learning libraries with two popular unit testcase generation tools, i.e., EVOSUITE and Randoop. We find that (1) most of the machine learning libraries do not maintain a high-quality unit test suite regarding commonly applied quality metrics such as code coverage (on average is 34.1%) and mutation score (on average is 21.3%), (2) unit test case generation tools, i.e., EVOSUITE and Randoop, lead to clear improvements in code coverage and mutation score, however, the improvement is limited, and (3) there exist common patterns in the uncovered code across the five machine learning libraries that can be used to improve unit test case generation tasks.;https://ieeexplore.ieee.org/abstract/document/9402041/;kdOG-3vLtDgJ
Zhu, J., Long, T., & Memon, A. (2021, May). Automatically authoring regression tests for machine-learning based systems. In 2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP) (pp. 374-383). IEEE.;10_testing_test_machine_metamorphic;2021;Automatically authoring regression tests for machine-learning based systems;Junjie Zhu, Teng Long, Atif Memon;2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP), 374-383, 2021;"Two key design characteristics of machine learning (ML) systems-their ever-improving nature, and learning-based emergent functional behavior - create a moving target, posing new challenges for authoring/maintaining functional regression tests. We identify four specific challenges and address them by developing a new general methodology to automatically author and maintain tests. In particular, we use the volume of production data to periodically refresh our large corpus of test inputs and expected outputs; we use perturbation of the data to obtain coverage-adequate tests; and we use clustering to help identify patterns of failures that are indicative of software bugs. We demonstrate our methodology on an ML-based context-aware Speller. Our coverage-adequate, approx. 1 million regression test cases, automatically authored and maintained for Speller (1) are virtually maintenance free, (2) detect a higher number of Speller failures than previous manually-curated tests, (3) have better coverage of previously unknown functional boundaries of the ML component, and (4) lend themselves to automatic failure triaging by clustering and prioritizing subcategories of tests with over-represented failures. We identify several systematic failure patterns which were due to previously undetected bugs in the Speller, e.g., (1) when the user misses the first letter in a short word, and (2) when the user mistakenly inserts a character in the last token of an address; these have since been fixed.";https://ieeexplore.ieee.org/abstract/document/9402002/;ENiCgjRA1CIJ
Berend, D., Xie, X., Ma, L., Zhou, L., Liu, Y., Xu, C., & Zhao, J. (2020, December). Cats are not fish: Deep learning testing calls for out-of-distribution awareness. In Proceedings of the 35th IEEE/ACM international conference on automated software engineering (pp. 1041-1052).;4_dl_testing_deep_network;2020;Cats are not fish: Deep learning testing calls for out-of-distribution awareness;David Berend, Xiaofei Xie, Lei Ma, Lingjun Zhou, Yang Liu, Chi Xu, Jianjun Zhao;Proceedings of the 35th IEEE/ACM international conference on automated software engineering, 1041-1052, 2020;"As Deep Learning (DL) is continuously adopted in many industrial applications, its quality and reliability start to raise concerns. Similar to the traditional software development process, testing the DL software to uncover its defects at an early stage is an effective way to reduce risks after deployment. According to the fundamental assumption of deep learning, the DL software does not provide statistical guarantee and has limited capability in handling data that falls outside of its learned distribution, i.e., out-of-distribution (OOD) data. Although recent progress has been made in designing novel testing techniques for DL software, which can detect thousands of errors, the current state-of-the-art DL testing techniques usually do not take the distribution of generated test data into consideration. It is therefore hard to judge whether the ""identified errors"" are indeed meaningful errors to the DL application (i.e., due to quality issues of the model) or outliers that cannot be handled by the current model (i.e., due to the lack of training data). Tofill this gap, we take the first step and conduct a large scale empirical study, with a total of 451 experiment configurations, 42 deep neural networks (DNNs) and 1.2 million test data instances, to investigate and characterize the impact of OOD-awareness on DL testing. We further analyze the consequences when DL systems go into production by evaluating the effectiveness of adversarial retraining with distribution-aware errors. The results confirm that introducing data distribution awareness in both testing and enhancement phases outperforms distribution unaware retraining by up to 21.5%.";https://dl.acm.org/doi/abs/10.1145/3324884.3416609;9nxWuZM-6uQJ
Zhang, J. M., Harman, M., Ma, L., & Liu, Y. (2020). Machine learning testing: Survey, landscapes and horizons. IEEE Transactions on Software Engineering, 48(1), 1-36.;10_testing_test_machine_metamorphic;2020;Machine learning testing: Survey, landscapes and horizons;Jie M Zhang, Mark Harman, Lei Ma, Yang Liu;IEEE Transactions on Software Engineering 48 (1), 1-36, 2020;"This paper provides a comprehensive survey of techniques for testing machine learning systems; Machine Learning Testing (ML testing) research. It covers 144 papers on testing properties (e.g., correctness, robustness, and fairness), testing components (e.g., the data, learning program, and framework), testing workflow (e.g., test generation and test evaluation), and application scenarios (e.g., autonomous driving, machine translation). The paper also analyses trends concerning datasets, research trends, and research focus, concluding with research challenges and promising research directions in ML testing.";https://ieeexplore.ieee.org/abstract/document/9000651/;nRkn144uGRwJ
Fischer, L., Ehrlinger, L., Geist, V., Ramler, R., Sobieczky, F., Zellinger, W., & Moser, B. (2020, August). Applying AI in practice: key challenges and lessons learned. In International Cross-Domain Conference for Machine Learning and Knowledge Extraction (pp. 451-471). Cham: Springer International Publishing.;1_ml_machine_data_learning;2020;Applying AI in practice: key challenges and lessons learned;Lukas Fischer, Lisa Ehrlinger, Verena Geist, Rudolf Ramler, Florian Sobieczky, Werner Zellinger, Bernhard Moser;International Cross-Domain Conference for Machine Learning and Knowledge Extraction, 451-471, 2020;The main challenges along with lessons learned from ongoing research in the application of machine learning systems in practice are discussed, taking into account aspects of theoretical foundations, systems engineering, and human-centered AI postulates. The analysis outlines a fundamental theory-practice gap which superimposes the challenges of AI system engineering at the level of data quality assurance, model building, software engineering and deployment.;https://link.springer.com/chapter/10.1007/978-3-030-57321-8_25;YvVulM-k_CEJ
Lewis, G. A., Ozkaya, I., & Xu, X. (2021, September). Software architecture challenges for ml systems. In 2021 IEEE International Conference on Software Maintenance and Evolution (ICSME) (pp. 634-638). IEEE.;1_ml_machine_data_learning;2021;Software architecture challenges for ml systems;Grace A Lewis, Ipek Ozkaya, Xiwei Xu;2021 IEEE International Conference on Software Maintenance and Evolution (ICSME), 634-638, 2021;Developing machine learning (ML) systems, just like any other system, requires architecture thinking. However, there are characteristics of ML components that create challenges and unique quality attribute (QA) concerns for software architecture and design activities, such as data-dependent behavior, detecting and responding to drift over time, and timely capture of ground truth to inform retraining. This paper presents four categories of software architecture challenges that need to be addressed to support ML system development, maintenance and evolution: software architecture practices for ML systems, architecture patterns and tactics for ML-important QAs, monitorability as a driving QA, and co-architecting and co-versioning. These challenges were collected from targeted workshops, practitioner interviews, and industry engagements. The goal of our work is to encourage further research in these areas and use the information presented in this paper to guide the development of empirically-validated practices for architecting ML systems.;https://ieeexplore.ieee.org/abstract/document/9609199/;LFDWbanXMLQJ
Shrivastava, S., Patel, D., Gifford, W. M., Siegel, S., & Kalagnanam, J. (2019). Thunderml: A toolkit for enabling ai/ml models on cloud for industry 4.0. In Web Services–ICWS 2019: 26th International Conference, Held as Part of the Services Conference Federation, SCF 2019, San Diego, CA, USA, June 25–30, 2019, Proceedings 26 (pp. 163-180). Springer International Publishing.;1_ml_machine_data_learning;2019;Thunderml: A toolkit for enabling ai/ml models on cloud for industry 4.0;Shrey Shrivastava, Dhaval Patel, Wesley M Gifford, Stuart Siegel, Jayant Kalagnanam;Web Services–ICWS 2019: 26th International Conference, Held as Part of the Services Conference Federation, SCF 2019, San Diego, CA, USA, June 25–30, 2019, Proceedings 26, 163-180, 2019;AI, machine learning, and deep learning tools have now become easily accessible on the cloud. However, the adoption of these cloud-based services for heavy industries has been limited due to the gap between general purpose AI tools and operational requirements for production industries. There are three fundamentals gaps. The first is the lack of purpose built solution pipelines designed for common industrial problem types, the second is the lack of tools for automating the learning from noisy sensor data and the third is the lack of platforms which help practitioners leverage cloud-based environment for building and deploying custom modeling pipelines. In this paper, we present ThunderML, a toolkit that addresses these gaps by providing powerful programming model that allows rapid authoring, training and deployment for Industry 4.0 applications. Importantly, the system also facilitates cloud-based deployments by providing a vendor agnostic pipeline execution and deployment layer.;https://link.springer.com/chapter/10.1007/978-3-030-23499-7_11;bgJLDyi12AwJ
Shahoud, S., Khalloof, H., Winter, M., Duepmeier, C., & Hagenmeyer, V. (2020, November). A meta learning approach for automating model selection in big data environments using microservice and container virtualization technologies. In Proceedings of the 12th International Conference on Management of Digital EcoSystems (pp. 84-91).;1_ml_machine_data_learning;2020;A meta learning approach for automating model selection in big data environments using microservice and container virtualization technologies;Shadi Shahoud, Hatem Khalloof, Moritz Winter, Clemens Duepmeier, Veit Hagenmeyer;Proceedings of the 12th International Conference on Management of Digital EcoSystems, 84-91, 2020;For a given specific machine learning task, very often several machine learning algorithms and their right configurations are tested in a trial-and-error approach, until an adequate solution is found. This wastes human resources for constructing multiple models, requires a data analytics expert and is time-consuming, since a variety of learning algorithms are proposed in literature and the non-expert users do not know which one to use in order to obtain good performance results. Meta learning addresses these problems and supports non-expert users by recommending a promising learning algorithm based on meta features computed from a given dataset. In the present paper, a new generic microservice-based framework for realizing the concept of meta learning in Big Data environments is introduced. This framework makes use of a powerful Big Data software stack, container visualization, modern web technologies and a microservice architecture for a fully manageable and highly scalable solution. In this demonstration and for evaluation purpose, time series model selection is taken into account. The performance and usability of the new framework is evaluated on state-of-the-art machine learning algorithms for time series forecasting: it is shown that the proposed microservice-based meta learning framework introduces an excellent performance in assigning the adequate forecasting model for the chosen time series datasets. Moreover, the recommendation of the most appropriate forecasting model results in a well acceptable low overhead demonstrating that the framework can provide an efficient approach to solve the problem of model selection in context of Big Data.;https://dl.acm.org/doi/abs/10.1145/3415958.3433072;9AhZ6qVo728J
